epoch,accuracy,loss,val_accuracy,val_loss
1,0.3013513386249542,1.3715875148773193,0.2574257552623749,1.388580322265625
2,0.3445945978164673,1.3418731689453125,0.41584157943725586,1.3810136318206787
3,0.3770270347595215,1.2760857343673706,0.4752475321292877,1.4075891971588135
4,0.49864864349365234,1.1474822759628296,0.4356435537338257,1.4858845472335815
5,0.6054053902626038,1.02992582321167,0.2871287167072296,1.6017471551895142
6,0.7229729890823364,0.8596748113632202,0.49504950642585754,1.7181402444839478
7,0.7608107924461365,0.7074787616729736,0.49504950642585754,1.853100061416626
8,0.7486486434936523,0.645376443862915,0.49504950642585754,1.8272961378097534
9,0.8067567348480225,0.5379544496536255,0.5247524976730347,1.9362629652023315
10,0.8472973108291626,0.45519620180130005,0.2970297038555145,2.0199968814849854
11,0.866216242313385,0.39513325691223145,0.2871287167072296,2.4783594608306885
12,0.8702702522277832,0.3947083055973053,0.39603960514068604,2.216651201248169
13,0.887837827205658,0.35197892785072327,0.3465346395969391,2.561263084411621
14,0.8851351141929626,0.33511412143707275,0.2772277295589447,2.22124981880188
15,0.908108115196228,0.2982890009880066,0.2970297038555145,2.600210666656494
16,0.8972973227500916,0.27695298194885254,0.31683167815208435,2.458268642425537
17,0.9067567586898804,0.29648903012275696,0.2871287167072296,2.4733378887176514
18,0.9283784031867981,0.23743869364261627,0.2871287167072296,2.5942511558532715
19,0.9418919086456299,0.2033482789993286,0.2871287167072296,2.858433246612549
20,0.9405405521392822,0.18057145178318024,0.2871287167072296,2.7623581886291504
21,0.954054057598114,0.1832820177078247,0.30693069100379944,2.822269916534424
22,0.9378378391265869,0.21980489790439606,0.3663366436958313,2.5520927906036377
