subject_id,order_idx,filename,filepath,timestamp_from_name,time_group,split,task_group,background,lighting,accessories,pose,expression,distance,is_usable,notes
person_a,1,image_20260326_233040_647303.png,data/data/person_a/image_20260326_233040_647303.png,2026-03-26 23:30:40.647303,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,2,image_20260326_233042_973155.png,data/data/person_a/image_20260326_233042_973155.png,2026-03-26 23:30:42.973155,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,3,image_20260326_233045_298360.png,data/data/person_a/image_20260326_233045_298360.png,2026-03-26 23:30:45.298360,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,4,image_20260326_233046_460204.png,data/data/person_a/image_20260326_233046_460204.png,2026-03-26 23:30:46.460204,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,5,image_20260326_233047_631571.png,data/data/person_a/image_20260326_233047_631571.png,2026-03-26 23:30:47.631571,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,6,image_20260326_233048_791911.png,data/data/person_a/image_20260326_233048_791911.png,2026-03-26 23:30:48.791911,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,7,image_20260326_233049_963264.png,data/data/person_a/image_20260326_233049_963264.png,2026-03-26 23:30:49.963264,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,8,image_20260326_233051_129450.png,data/data/person_a/image_20260326_233051_129450.png,2026-03-26 23:30:51.129450,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,9,image_20260326_233052_293724.png,data/data/person_a/image_20260326_233052_293724.png,2026-03-26 23:30:52.293724,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,10,image_20260326_233053_459928.png,data/data/person_a/image_20260326_233053_459928.png,2026-03-26 23:30:53.459928,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,11,image_20260326_233054_626381.png,data/data/person_a/image_20260326_233054_626381.png,2026-03-26 23:30:54.626381,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,12,image_20260326_233054_638122.png,data/data/person_a/image_20260326_233054_638122.png,2026-03-26 23:30:54.638122,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,13,image_20260326_233055_787815.png,data/data/person_a/image_20260326_233055_787815.png,2026-03-26 23:30:55.787815,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,14,image_20260326_233056_960113.png,data/data/person_a/image_20260326_233056_960113.png,2026-03-26 23:30:56.960113,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,15,image_20260326_233058_123124.png,data/data/person_a/image_20260326_233058_123124.png,2026-03-26 23:30:58.123124,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,16,image_20260326_233059_280145.png,data/data/person_a/image_20260326_233059_280145.png,2026-03-26 23:30:59.280145,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,17,image_20260326_233100_448857.png,data/data/person_a/image_20260326_233100_448857.png,2026-03-26 23:31:00.448857,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,18,image_20260326_233101_613174.png,data/data/person_a/image_20260326_233101_613174.png,2026-03-26 23:31:01.613174,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,19,image_20260326_233102_770830.png,data/data/person_a/image_20260326_233102_770830.png,2026-03-26 23:31:02.770830,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,20,image_20260326_233105_100088.png,data/data/person_a/image_20260326_233105_100088.png,2026-03-26 23:31:05.100088,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,21,image_20260326_233200_834508.png,data/data/person_a/image_20260326_233200_834508.png,2026-03-26 23:32:00.834508,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,22,image_20260326_233201_994148.png,data/data/person_a/image_20260326_233201_994148.png,2026-03-26 23:32:01.994148,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,23,image_20260326_233203_151190.png,data/data/person_a/image_20260326_233203_151190.png,2026-03-26 23:32:03.151190,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,24,image_20260326_233204_314569.png,data/data/person_a/image_20260326_233204_314569.png,2026-03-26 23:32:04.314569,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,25,image_20260326_233206_653392.png,data/data/person_a/image_20260326_233206_653392.png,2026-03-26 23:32:06.653392,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,26,image_20260326_233207_820487.png,data/data/person_a/image_20260326_233207_820487.png,2026-03-26 23:32:07.820487,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,27,image_20260326_233208_977885.png,data/data/person_a/image_20260326_233208_977885.png,2026-03-26 23:32:08.977885,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,28,image_20260326_233211_309338.png,data/data/person_a/image_20260326_233211_309338.png,2026-03-26 23:32:11.309338,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,29,image_20260326_233212_481477.png,data/data/person_a/image_20260326_233212_481477.png,2026-03-26 23:32:12.481477,before_1729,train,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
