epoch,accuracy,loss,val_accuracy,val_loss
1,0.3826366662979126,1.0994433164596558,0.5394737124443054,1.0861520767211914
2,0.40353697538375854,1.0782012939453125,0.6052631735801697,1.0638301372528076
3,0.4517684876918793,1.0375664234161377,0.6315789222717285,0.9782474040985107
4,0.5482314825057983,0.9733724594116211,0.9078947305679321,0.844368577003479
5,0.6205787658691406,0.868069052696228,0.7631579041481018,0.7102980613708496
6,0.6816720366477966,0.794902503490448,0.6710526347160339,0.6704639196395874
7,0.700964629650116,0.7485050559043884,0.6842105388641357,0.649044394493103
8,0.7443729639053345,0.6536755561828613,0.6710526347160339,0.5752399563789368
9,0.7797427773475647,0.5818580389022827,0.6578947305679321,0.6096178889274597
10,0.8295819759368896,0.47148627042770386,0.6710526347160339,0.5021529197692871
11,0.8327974081039429,0.44523581862449646,0.6578947305679321,0.5105865001678467
12,0.8697749376296997,0.38324424624443054,0.6447368264198303,0.5681806206703186
13,0.881028950214386,0.3154279589653015,0.6315789222717285,0.6857542991638184
14,0.8938906788825989,0.3253224790096283,0.6315789222717285,0.5944759249687195
15,0.9228295683860779,0.26572489738464355,0.6578947305679321,0.6400312781333923
16,0.9292604327201843,0.2427862286567688,0.6842105388641357,0.43894121050834656
17,0.9308681488037109,0.21680016815662384,0.6578947305679321,0.5441325306892395
18,0.9276527166366577,0.20897352695465088,0.9473684430122375,0.285022497177124
19,0.9485530257225037,0.188632994890213,0.7368420958518982,0.4649238586425781
20,0.9517685174942017,0.1567891389131546,0.6578947305679321,0.6186104416847229
21,0.9533762335777283,0.160567507147789,0.6578947305679321,0.7112894654273987
22,0.9662379622459412,0.12534141540527344,0.7236841917037964,0.43607059121131897
23,0.9485530257225037,0.13746443390846252,0.6578947305679321,0.6313735246658325
24,0.9678456783294678,0.11296514421701431,0.9342105388641357,0.21855537593364716
25,0.9565916657447815,0.14161792397499084,0.9078947305679321,0.22266733646392822
26,0.971061110496521,0.08578535914421082,0.9342105388641357,0.22148653864860535
27,0.9662379622459412,0.10437125712633133,0.8947368264198303,0.21867796778678894
28,0.9678456783294678,0.10393248498439789,0.9342105388641357,0.21195858716964722
29,0.9758842587471008,0.08189276605844498,1.0,0.15857942402362823
